Linux 6.5.0-45-generic (gauss) 	26. 02. 2025 	_x86_64_	(32 CPU)

11:48:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:41      nvme0n1      1,00      0,00    175,20      0,00    175,20      0,01      5,40      0,40
11:49:41          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:41       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:41          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:46        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46      nvme0n1      0,80      0,00    177,60      0,00    222,00      0,00      4,75      0,24
11:49:46          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46       loop10      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46       loop11      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46       loop12      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46       loop13      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:46       loop14      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

11:49:46          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
11:49:51        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51      nvme0n1      0,80      0,00    178,40      0,00    223,00      0,00      5,25      0,24
11:49:51          sda      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
11:49:51        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
